year,species,site,plot,trt,treatment,pods,cover0,arsincover0,cover3,arsincover3,cover5,arsincover5
2010,CALE,Hyslop,193,3,Banvel 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Hyslop,198,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Hyslop,199,5,Roundup 0.01,5.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Hyslop,200,6,Roundup 0.1,1.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,206,7,Rdup/Bnvl 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,210,4,Banvel 0.1,8.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,217,6,Roundup 0.1,2.0,3.0,0.17408301063648043,0.0,0.0,,
2010,CALE,Botany,224,3,Banvel 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,225,2,No Spray,8.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,255,6,Roundup 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,258,1,Carrier Control,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,260,2,No Spray,2.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,261,4,Banvel 0.1,4.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,265,5,Roundup 0.01,0.0,2.0,0.1418970546041639,3.0,0.17408301063648043,,
2010,CALE,Botany,274,3,Banvel 0.01,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,275,4,Banvel 0.1,1.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,278,4,Banvel 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,281,6,Roundup 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,287,7,Rdup/Bnvl 0.01,1.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,297,6,Roundup 0.1,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,300,2,No Spray,4.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,301,5,Roundup 0.01,9.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,302,3,Banvel 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,303,7,Rdup/Bnvl 0.01,5.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,304,6,Roundup 0.1,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,305,7,Rdup/Bnvl 0.01,4.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,306,5,Roundup 0.01,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,311,3,Banvel 0.01,8.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,314,3,Banvel 0.01,7.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,315,4,Banvel 0.1,0.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,318,1,Carrier Control,0.0,2.0,0.1418970546041639,0.0,0.0,,
2010,CALE,Botany,321,1,Carrier Control,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,324,5,Roundup 0.01,2.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,325,6,Roundup 0.1,3.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,326,2,No Spray,6.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,328,2,No Spray,,1.0,0.1001674211615598,0.0,0.0,,
2010,CALE,Botany,329,6,Roundup 0.1,11.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,330,2,No Spray,6.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,331,5,Roundup 0.01,3.0,2.0,0.1418970546041639,0.0,0.0,,
2010,CALE,Botany,334,4,Banvel 0.1,0.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,335,3,Banvel 0.01,,1.0,0.1001674211615598,0.0,0.0,,
2010,CALE,Botany,341,8,Rdup/Bnvl 0.1,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,347,8,Rdup/Bnvl 0.1,1.0,3.0,0.17408301063648043,2.0,0.1418970546041639,,
2010,CALE,Botany,351,5,Roundup 0.01,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,352,1,Carrier Control,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,353,1,Carrier Control,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,354,4,Banvel 0.1,10.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,355,7,Rdup/Bnvl 0.01,1.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,356,1,Carrier Control,12.0,4.0,0.20135792079033082,1.0,0.1001674211615598,,
2010,CALE,Botany,360,8,Rdup/Bnvl 0.1,6.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,361,8,Rdup/Bnvl 0.1,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,362,7,Rdup/Bnvl 0.01,5.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,363,1,Carrier Control,6.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,364,6,Roundup 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,365,5,Roundup 0.01,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,368,5,Roundup 0.01,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,371,7,Rdup/Bnvl 0.01,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,374,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,0.0,0.0,,
2010,CALE,Botany,375,3,Banvel 0.01,1.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,377,4,Banvel 0.1,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,379,2,No Spray,11.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2010,CALE,Botany,380,7,Rdup/Bnvl 0.01,6.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,381,8,Rdup/Bnvl 0.1,0.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2010,CALE,Botany,382,8,Rdup/Bnvl 0.1,6.0,1.0,0.1001674211615598,0.0,0.0,,
2010,CALE,Botany,384,1,Carrier Control,,1.0,0.1001674211615598,,,,
2010,CALE,Botany,388,3,Banvel 0.01,8.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
2010,CALE,Botany,399,8,Rdup/Bnvl 0.1,12.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
2010,CALE,Botany,400,2,No Spray,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
2011,CALE,Hyslop,2,6,Roundup 0.2,0.0,0.2,0.04473628,0.3,0.05479968,,
2011,CALE,Hyslop,6,1,Carrier Control,1.0,0.7,0.083763922,0.5,0.07076974,,
2011,CALE,Hyslop,12,4,Banvel 0.2,1.0,0.7,0.083763922,0.5,0.07076974,,
2011,CALE,Hyslop,13,2,No Spray,4.0,0.6,0.077537336,0.3,0.05479968,,
2011,CALE,Hyslop,17,2,No Spray,7.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Hyslop,21,4,Banvel 0.2,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,26,5,Roundup 0.1,0.0,1.0,0.100167421,0.8,0.08956241,,
2011,CALE,Hyslop,31,1,Carrier Control,5.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Hyslop,51,6,Roundup 0.2,0.0,0.1,0.031628049,0.15,0.03873952,,
2011,CALE,Hyslop,57,1,Carrier Control,4.0,0.7,0.083763922,1.0,0.10016742,,
2011,CALE,Hyslop,60,8,Rdup+Bnvl 0.2,0.0,0.4,0.063287793,0.4,0.06328779,,
2011,CALE,Hyslop,63,8,Rdup+Bnvl 0.2,0.0,0.4,0.063287793,0.5,0.07076974,,
2011,CALE,Hyslop,64,7,Rdup+Bnvl 0.1,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,65,4,Banvel 0.2,2.0,0.25,0.050020857,0.5,0.07076974,,
2011,CALE,Hyslop,71,6,Roundup 0.2,0.0,0.2,0.04473628,0.2,0.04473628,,
2011,CALE,Hyslop,74,1,Carrier Control,4.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Hyslop,75,3,Banvel 0.1,12.0,1.0,0.100167421,2.0,0.14189705,,
2011,CALE,Hyslop,80,3,Banvel 0.1,0.0,2.0,0.141897055,0.3,0.05479968,,
2011,CALE,Hyslop,81,3,Banvel 0.1,3.0,0.3,0.054799679,0.5,0.07076974,,
2011,CALE,Hyslop,82,2,No Spray,6.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Hyslop,83,4,Banvel 0.2,3.0,0.7,0.083763922,0.4,0.06328779,,
2011,CALE,Hyslop,86,6,Roundup 0.2,0.0,0.2,0.04473628,0.3,0.05479968,,
2011,CALE,Hyslop,91,8,Rdup+Bnvl 0.2,2.0,1.0,0.100167421,1.0,0.10016742,,
2011,CALE,Hyslop,93,7,Rdup+Bnvl 0.1,1.0,0.5,0.070769737,0.3,0.05479968,,
2011,CALE,Hyslop,96,7,Rdup+Bnvl 0.1,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,100,6,Roundup 0.2,0.0,0.5,0.070769737,0.3,0.05479968,,
2011,CALE,Hyslop,101,7,Rdup+Bnvl 0.1,0.0,0.5,0.070769737,0.7,0.08376392,,
2011,CALE,Hyslop,102,3,Banvel 0.1,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,106,2,No Spray,4.0,1.0,0.100167421,1.0,0.10016742,,
2011,CALE,Hyslop,107,5,Roundup 0.1,0.0,1.0,0.100167421,1.4,0.11859943,,
2011,CALE,Hyslop,111,6,Roundup 0.2,2.0,0.8,0.089562407,0.5,0.07076974,,
2011,CALE,Hyslop,113,2,No Spray,5.0,0.7,0.083763922,0.5,0.07076974,,
2011,CALE,Hyslop,114,1,Carrier Control,4.0,0.7,0.083763922,0.8,0.08956241,,
2011,CALE,Hyslop,116,2,No Spray,10.0,1.3,0.114266037,1.0,0.10016742,,
2011,CALE,Hyslop,117,5,Roundup 0.1,4.0,0.5,0.070769737,0.4,0.06328779,,
2011,CALE,Hyslop,121,6,Roundup 0.2,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,122,4,Banvel 0.2,0.0,0.4,0.063287793,0.4,0.06328779,,
2011,CALE,Hyslop,123,5,Roundup 0.1,0.0,1.0,0.100167421,0.5,0.07076974,,
2011,CALE,Hyslop,125,2,No Spray,0.0,0.5,0.070769737,0.7,0.08376392,,
2011,CALE,Hyslop,126,1,Carrier Control,0.0,0.3,0.054799679,1.0,0.10016742,,
2011,CALE,Hyslop,127,3,Banvel 0.1,2.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Hyslop,128,4,Banvel 0.2,0.0,0.3,0.054799679,0.25,0.05002086,,
2011,CALE,Hyslop,131,6,Roundup 0.2,0.0,0.3,0.054799679,0.2,0.04473628,,
2011,CALE,Hyslop,132,8,Rdup+Bnvl 0.2,0.0,0.4,0.063287793,0.3,0.05479968,,
2011,CALE,Hyslop,137,3,Banvel 0.1,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,143,5,Roundup 0.1,2.0,1.0,0.100167421,1.5,0.12278276,,
2011,CALE,Hyslop,156,7,Rdup+Bnvl 0.1,0.0,0.2,0.04473628,0.25,0.05002086,,
2011,CALE,Hyslop,158,7,Rdup+Bnvl 0.1,0.0,0.7,0.083763922,0.8,0.08956241,,
2011,CALE,Hyslop,168,5,Roundup 0.1,0.0,0.1,0.031628049,0.2,0.04473628,,
2011,CALE,Hyslop,169,8,Rdup+Bnvl 0.2,0.0,1.2,0.109764792,0.4,0.06328779,,
2011,CALE,Hyslop,171,1,Carrier Control,3.0,0.25,0.050020857,0.6,0.07753734,,
2011,CALE,Hyslop,172,5,Roundup 0.1,1.0,0.5,0.070769737,0.6,0.07753734,,
2011,CALE,Hyslop,173,8,Rdup+Bnvl 0.2,1.0,1.0,0.100167421,0.7,0.08376392,,
2011,CALE,Hyslop,174,1,Carrier Control,0.0,0.4,0.063287793,0.5,0.07076974,,
2011,CALE,Hyslop,175,7,Rdup+Bnvl 0.1,0.0,1.0,0.100167421,0.5,0.07076974,,
2011,CALE,Hyslop,178,4,Banvel 0.2,2.0,1.2,0.109764792,0.4,0.06328779,,
2011,CALE,Hyslop,179,8,Rdup+Bnvl 0.2,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,180,3,Banvel 0.1,0.0,0.3,0.054799679,0.4,0.06328779,,
2011,CALE,Hyslop,181,3,Banvel 0.1,0.0,1.0,0.100167421,1.0,0.10016742,,
2011,CALE,Hyslop,183,7,Rdup+Bnvl 0.1,0.0,0.4,0.063287793,0.8,0.08956241,,
2011,CALE,Hyslop,184,2,No Spray,7.0,2.0,0.141897055,0.5,0.07076974,,
2011,CALE,Hyslop,185,5,Roundup 0.1,0.0,0.3,0.054799679,0.3,0.05479968,,
2011,CALE,Hyslop,187,8,Rdup+Bnvl 0.2,0.0,0.4,0.063287793,0.2,0.04473628,,
2011,CALE,Hyslop,188,4,Banvel 0.2,6.0,0.3,0.054799679,0.5,0.07076974,,
2011,CALE,Botany,203,6,Roundup 0.2,0.0,2.0,0.141897055,3.0,0.17408301,,
2011,CALE,Botany,206,8,Rdup+Bnvl 0.2,0.0,2.0,0.141897055,1.3,0.11426604,,
2011,CALE,Botany,209,2,No Spray,4.0,1.2,0.109764792,1.0,0.10016742,,
2011,CALE,Botany,210,1,Carrier Control,0.0,0.8,0.089562407,2.0,0.14189705,,
2011,CALE,Botany,224,1,Carrier Control,4.0,1.5,0.122782759,1.7,0.13075632,,
2011,CALE,Botany,225,1,Carrier Control,0.0,1.3,0.114266037,1.0,0.10016742,,
2011,CALE,Botany,232,1,Carrier Control,0.0,0.5,0.070769737,1.0,0.10016742,,
2011,CALE,Botany,234,6,Roundup 0.2,0.0,0.7,0.083763922,0.7,0.08376392,,
2011,CALE,Botany,236,5,Roundup 0.1,0.0,2.0,0.141897055,3.5,0.18819174,,
2011,CALE,Botany,237,7,Rdup+Bnvl 0.1,3.0,4.0,0.201357921,6.0,0.24746706,,
2011,CALE,Botany,247,1,Carrier Control,10.0,1.7,0.130756325,2.0,0.14189705,,
2011,CALE,Botany,248,5,Roundup 0.1,1.0,1.5,0.122782759,0.5,0.07076974,,
2011,CALE,Botany,252,3,Banvel 0.1,0.0,1.0,0.100167421,0.3,0.05479968,,
2011,CALE,Botany,257,7,Rdup+Bnvl 0.1,3.0,1.5,0.122782759,2.3,0.15224496,,
2011,CALE,Botany,258,6,Roundup 0.2,0.0,0.5,0.070769737,1.5,0.12278276,,
2011,CALE,Botany,260,5,Roundup 0.1,1.0,5.0,0.225513406,1.0,0.10016742,,
2011,CALE,Botany,261,3,Banvel 0.1,6.0,2.7,0.165065324,2.0,0.14189705,,
2011,CALE,Botany,264,5,Roundup 0.1,0.0,2.5,0.158780215,2.0,0.14189705,,
2011,CALE,Botany,265,3,Banvel 0.1,7.0,3.0,0.174083011,1.0,0.10016742,,
2011,CALE,Botany,266,4,Banvel 0.2,0.0,1.5,0.122782759,2.0,0.14189705,,
2011,CALE,Botany,275,6,Roundup 0.2,0.0,2.0,0.141897055,0.3,0.05479968,,
2011,CALE,Botany,277,8,Rdup+Bnvl 0.2,0.0,0.7,0.083763922,2.0,0.14189705,,
2011,CALE,Botany,278,4,Banvel 0.2,0.0,0.3,0.054799679,1.0,0.10016742,,
2011,CALE,Botany,281,8,Rdup+Bnvl 0.2,0.0,0.5,0.070769737,0.0,0.0,,
2011,CALE,Botany,288,3,Banvel 0.1,2.0,2.0,0.141897055,5.0,0.22551341,,
2011,CALE,Botany,290,2,No Spray,0.0,2.0,0.141897055,1.7,0.13075632,,
2011,CALE,Botany,297,6,Roundup 0.2,0.0,1.0,0.100167421,0.5,0.07076974,,
2011,CALE,Botany,300,4,Banvel 0.2,3.0,1.5,0.122782759,0.5,0.07076974,,
2011,CALE,Botany,301,7,Rdup+Bnvl 0.1,0.0,3.5,0.188191741,3.5,0.18819174,,
2011,CALE,Botany,302,8,Rdup+Bnvl 0.2,0.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Botany,303,6,Roundup 0.2,0.0,0.3,0.054799679,0.4,0.06328779,,
2011,CALE,Botany,304,8,Rdup+Bnvl 0.2,0.0,0.4,0.063287793,0.0,0.0,,
2011,CALE,Botany,305,5,Roundup 0.1,0.0,0.8,0.089562407,1.3,0.11426604,,
2011,CALE,Botany,309,7,Rdup+Bnvl 0.1,4.0,1.5,0.122782759,2.0,0.14189705,,
2011,CALE,Botany,310,1,Carrier Control,5.0,0.5,0.070769737,2.3,0.15224496,,
2011,CALE,Botany,311,3,Banvel 0.1,15.0,1.0,0.100167421,2.0,0.14189705,,
2011,CALE,Botany,312,7,Rdup+Bnvl 0.1,0.0,0.5,0.070769737,0.3,0.05479968,,
2011,CALE,Botany,319,3,Banvel 0.1,0.0,1.5,0.122782759,1.0,0.10016742,,
2011,CALE,Botany,320,3,Banvel 0.1,0.0,1.5,0.122782759,2.0,0.14189705,,
2011,CALE,Botany,321,8,Rdup+Bnvl 0.2,0.0,1.3,0.114266037,0.3,0.05479968,,
2011,CALE,Botany,324,1,Carrier Control,5.0,2.5,0.158780215,2.3,0.15224496,,
2011,CALE,Botany,326,2,No Spray,0.0,1.0,0.100167421,,,,
2011,CALE,Botany,327,2,No Spray,15.0,1.0,0.100167421,2.0,0.14189705,,
2011,CALE,Botany,328,4,Banvel 0.2,0.0,1.7,0.130756325,0.2,0.04473628,,
2011,CALE,Botany,329,6,Roundup 0.2,0.0,0.7,0.083763922,1.5,0.12278276,,
2011,CALE,Botany,330,8,Rdup+Bnvl 0.2,0.0,0.2,0.04473628,0.3,0.05479968,,
2011,CALE,Botany,331,5,Roundup 0.1,0.0,0.3,0.054799679,0.1,0.03162805,,
2011,CALE,Botany,332,5,Roundup 0.1,0.0,0.2,0.04473628,0.4,0.06328779,,
2011,CALE,Botany,333,7,Rdup+Bnvl 0.1,4.0,1.0,0.100167421,0.8,0.08956241,,
2011,CALE,Botany,351,2,No Spray,7.0,1.5,0.122782759,2.0,0.14189705,,
2011,CALE,Botany,354,7,Rdup+Bnvl 0.1,0.0,0.5,0.070769737,0.5,0.07076974,,
2011,CALE,Botany,355,7,Rdup+Bnvl 0.1,0.0,1.0,0.100167421,1.5,0.12278276,,
2011,CALE,Botany,356,2,No Spray,7.0,1.0,0.100167421,2.5,0.15878021,,
2011,CALE,Botany,359,4,Banvel 0.2,16.0,0.8,0.089562407,1.5,0.12278276,,
2011,CALE,Botany,363,5,Roundup 0.1,1.0,0.8,0.089562407,1.2,0.10976479,,
2011,CALE,Botany,364,4,Banvel 0.2,0.0,0.5,0.070769737,0.2,0.04473628,,
2011,CALE,Botany,366,1,Carrier Control,11.0,3.5,0.188191741,2.5,0.15878021,,
2011,CALE,Botany,368,2,No Spray,0.0,1.0,0.100167421,2.0,0.14189705,,
2011,CALE,Botany,369,6,Roundup 0.2,0.0,0.1,0.031628049,0.1,0.03162805,,
2011,CALE,Botany,370,8,Rdup+Bnvl 0.2,1.0,1.0,0.100167421,0.2,0.04473628,,
2011,CALE,Botany,377,3,Banvel 0.1,17.0,4.0,0.201357921,3.0,0.17408301,,
2011,CALE,Botany,379,4,Banvel 0.2,0.0,0.5,0.070769737,0.4,0.06328779,,
2011,CALE,Botany,380,2,No Spray,2.0,0.3,0.054799679,0.3,0.05479968,,
